"Contrl_ID","Descryption","Result","Status","Expected_Value","Recommencdation","Comment"
"AAD.IM.01","Ensure that internal accounts (on tent level) not used in last 30 days are 'Disabled'","7 internal member accounts show no sign-in activity in the last 30 days","WARNING","Interview whether there are procedures for carrying out Identity Lifecycle management. If there are such procedures, who is responsible for carrying them out, are there documents on the procedures, are there any documentation regarding the effect of such management, check whether there is evidence of a connection between the records system and databases.","Review all internal accounts synchronized to Microsoft Entra ID ('Azure Active Directory') with a last sign-in date greater than 30 days ago (or greater based on business requriements) and block sign-in to the account or delete it from your local directory. Due to fact that there may be situations that users can request for long term absence (unpaid holidays, maternity leave) the process should be automated as best effort (for e.g additional custom atribute with user's status synchronized from HRIS to local AD system).","N/A"
"AAD.IM.02","Ensure the lifecycle of identities and entitlements is managed","Manual verification required for lifecycle and entitlement governance process","MANUAL","N/A","Establish well-defined process of Identity Governce process to manage identity and access lifecycle at scale. ","N/A"
"AAD.IM.03","Ensure the process of reviewing and reconciling user access is completed regularly","No access review definitions found; manual verification required","MANUAL","Documentation needed for reviews carried out. Checking the dates of reviews. If the inspection is performed before the review date in a given month or for the first time, the Tester Guideline should be followed.","Establish regular process of periodic Access Review for all users in organization (not limited only to Global Administrators and other administrative roles). To define process, recommended is to use Privileged Identity Management Solution to configure process for periodic access review including following practices:
  1. Apply principle of least privilege - Define a list of users for whom additional permissions may be required and a list of these permissions
  2. Grant just-in-time access - Define access policy only when required which actions that are required before activation the role (requesting, approval form, justification)
  3. Protect accounts - Turn on multifactor authentication for all administrator accounts before role activation
  4. Regular access reviews - Perform regular access reviews to revoke access automatically
  5. Limit usage of Global Administrator accounts - There should be defined less than 5 global administrators and only privileged users should request for this role. Global Administrator Account should not be used for day to day tasks and these activities should be replaced with Azure AD roles

The recommendation is a part of Control ID: AAD.IM.02","N/A"
"AAD.IM.04","Ensure an 'Access Review' process for Teams and Sharepoint sites based on Microsoft 365 Groups is performed regularly","0 access review definitions found for Teams/Microsoft 365 groups","FAIL","There is a policy specifying the inactivity timespan.
It is enabled.
There are no inactive users in the inactive users list, if there are, the whole process described in Guidance should be carried out","Perform regular process of 'Access Review' of membership for all Teams and Microsoft 365 Groups. To automate the process it is recommended to use Microsoft Entra ID Identity Governce 'Access Review' service or other third party solution if applicable. 

The recommendation is a part of Control ID: AAD.SC.16","N/A"
"AAD.IM.05","Ensure that 'Guest invite settings' is set to 'Member users and users assigned to specific admin roles can invite guest users including guests with member permissions'","Guest invite setting is 'everyone'","FAIL","Member users and users assigned to specific admin roles can invite guest users including guests with member permissions","Set 'Guest invite settings' to 'Member users and users assigned to specific admin roles can invite guest users including guests with member permissions'","N/A"
