"Contrl_ID","Descryption","Result","Status","Expected_Value","Recommencdation","Comment"
"AAD.EC.01","Ensure that external accounts (on tent level) not used in last '30' days are disabled","0 guest accounts show no sign-in activity in the last 30 days","PASS","CSV or API proof of the said accounts being disabled","Review all external accounts with a last sign-in date greater than 30 days ago (or greater based on business requirements) and block sign-in to the account or delete it from your Microsoft Entra ID Tent. Due to fact that there may be different situations and business needs, the governce of lifecycle of external identities (e.g. Consultants) should be automated as best effort (e.g. creating automating scripts that will block unused accounts greater than 30 days)

The recommendation is a part of Control ID: AAD.IM.02","N/A"
"AAD.EC.02","Ensure that guest accounts (on tent level) not used in last '90' days are disabled","0 guest accounts show no sign-in activity in the last 90 days","PASS","CSV or API proof of the said accounts being disabled","Review all guest accounts with a last sign-in date greater than 90 days ago (or greater based on business requirements) and block sign-in to the account or delete it from your Microsoft Entra ID. ue to fact that there may be different situations and business needs, the governce of lifecycle of external identities (e.g. Consultants) should be automated as best effort (e.g. creating automating scripts that will block unused accounts greater than 90 days).

The recommendation is a part of Control ID: AAD.IM.02","N/A"
"AAD.EC.03","Ensure the 'Customer Lockbox' feature is 'Enabled'","Customer Lockbox is not enabled","FAIL","Enabled","Set 'Customer Lockbox' to 'Enabled'","N/A"
"AAD.EC.04","Ensure that there are no External partners with delegated administration privileges and global administrator roles without expiration date","0 delegated admin partner relationships are expired","PASS","There are no partners with 'expired' status on list","Review list of added partners and remove if contract has been expired
During adding new Partner as delegated administrator, insert 'Expiration' as a date when contract will expire","N/A"
