"Contrl_ID","Descryption","Result","Status","Expected_Value","Recommencdation","Comment"
"AAD.AR.01","Ensure that the signs-ins after multiple failures report is reviewed weekly","0 failed sign-ins in the last 30 days","PASS","N/A","Establish regular process of review 'Sign-in Failure' report (weekly, bi-weekly or monthly). Reviewing this report on a regular basis allows for identification and remediation of compromised accounts","N/A"
"AAD.AR.02","Ensure that the signs-ins from multiple geographies report is reviewed weekly","0 users signed in from multiple geographies in the last 30 days","PASS","N/A","Establish regular process of review 'Sign-ins from multiple geographies' report (weekly, bi-weekly or monthly)  - Risky Sign-ins. Reviewing this report on a regular basis allows for identification and remediation of compromised accounts","N/A"
"AAD.AR.03","Ensure that the Azure AD roles are reviewed weekly","3 current directory role assignments exported for review","INFO","N/A","Establish regular process of periodic Access Review for all Azure AD roles. To define process, recommended is to use Privileged Identity Management Solution to configure recurring access review to revoke unneeded permissions over time

The recommendation is a part of Control ID: AAD.IM.02","N/A"
"AAD.AR.04","Ensure that the signs-ins from unknown sources report is reviewed weekly","Risky sign-ins could not be retrieved automatically","MANUAL","N/A","Establish regular process of review 'Sign-ins from uknown sources (for e.g. a TOR IP Address) - Risky Sign-ins' . Reviewing this report on a regular basis allows for identification and remediation of compromised accounts","N/A"
"AAD.AR.05","Ensure the list of external users that you have invited to documents is reviewed monthly","0 guest accounts exported for monthly review","INFO","N/A","Perform 'Access Review' process for external users that you have invited to documents stored on Sharepoint and OneDrive every '30' days

The recommendation is a part of Control ID: AAD.IM.04","N/A"
"AAD.AR.06","Ensure non-global administrators are reviewed weekly","0 non-global privileged role assignments exported for review","INFO","N/A","Establish regular process of periodic Access Review for all Azure AD roles. To define process, recommended is to use Privileged Identity Management Solution to configure recurring access review to revoke unneeded permissions over time

The recommendation is a part of Control ID: AAD.IM.02","N/A"
