"Contrl_ID","Descryption","Result","Status","Expected_Value","Recommencdation","Comment"
"AAD.GV.01","Optimize reauthentication prompts and  session lifetime for Azure AD Multi-Factor Authentication","0 Conditional Access policies define sign-in frequency/session governance","WARNING","Created Conditional Access Policy and all guideline recommendations have been met","To give your users the right balance of security and ease of use by asking them to sign in at the right frequency. 
  - If re-authentication will be considered as required, create 'Conditional Access' sign in frequency policy across all organizational devices and users
  - For users that sign in from non-managed devices or mobile devices, create 'Conditional Access' policy with sign-in frequency policy with slightly limited duration to an appropriate time based on the sign-in risk, where a user with less risk has a longer session duration","N/A"
"AAD.GV.02","Ensure proper revocation method of access and refresh token for account compromise for hybrid identities","Manual verification required for hybrid identity revocation process","MANUAL","Interview about the method used for revoking. Check if the Azure AD admin can carry out the revoking process using powershell (e.g. 'Disable-ADAccount' and '' Set-ADAccountPassword'","Redefine Incident Response Plan or Change Configuration in your tent settings
There are several options that can protect against account compromise. All of these options involve process changes except one that involves a change in the way password hash sync works. It is important to do what you believe is best for your organization while also keeping in mind that process failures happen more often than configuration failures.

  - No longer check the box that states “user must change password at next logon” when changing a password and rely on the user to change the password again.
  - Change the password without the box that states “user must change password at next logon” and then change it again with the box selected.
  - After changing a compromised accounts credentials, run the mentioned PowerShell cmdlet to revoke all refresh tokens for the account.
  - Change the password in Azure Active Directory instead of on-premise Active Directory. Note that this will only work if you have write-back enabled so it can write back to your on-premise Active Directory.
  - Implement the following change (that Microsoft has thankfully added functionality for) against your AAD environment. This will force these “non-secret” or “temporary passwords” to sync with AAD. The field “ForcePasswordResetOnLogonFeature” is set to “$false” by default and can be changed. Run the following command via PowerShell.

The recommendation is a part of Control ID: INCD.RE.01","N/A"
"AAD.GV.03","Ensure that 'Groups and Sharepoint sites' that had last activity older than 90 days are disabled and/or deleted from Microsoft Entra ID","No lifecycle policy found; manual review required for inactive groups/sites","MANUAL","No Groups and Sharepoint sites with last activity older than 90 days","Sites and teams groups with last activity older than 90 days should be regularly checked and automatically or manually deleted to ensure proper security hygiene of Microsoft 365 tent. 

The recommendation is a part of Control ID: AAD.SC.16","N/A"
"AAD.GV.04","Ensure that email address is added to notify about Azure Service outages","Manual verification required for Azure Service Health notification recipients","MANUAL","There is at least one email address added to the existing alert","Add email of user or dedicated shared mailbox for notifications about Azure Service outages","N/A"
"AAD.GV.05","Ensure that external identities are not getting email notifications about 'Users at risk detected alerts' ","Manual verification required for 'Users at risk detected' alert recipients","MANUAL","There are no 'external users' identities on the 'users at risk detected allerts' recipient list","Review the list of users who are getting email notifications 'Users at risk detected alerts' and make sure external identities are not on that list","N/A"
"AAD.GV.06","Ensure that Microsoft Entra ID 'Terms of Use' are uploaded","0 Terms of Use documents found","FAIL","Uploaded 'Terms of use'","Upload 'Terms of use' for external users in 'Microsoft Entra ID'","N/A"
"AAD.GV.07","Ensure that external identities are not getting email notifications about 'Weekly digest' ","Manual verification required for weekly digest recipients","MANUAL","No external identities on list","Review the list of users who are getting email notifications 'Users at risk detected alerts' and make sure external identities are not on that list","N/A"
